Category,Correct_Until_Gen_2,Correct_Until_Gen_3,Correct_Until_Gen_4,Correct_Until_Gen_5,Correct_Until_Gen_6,Correct_Until_Gen_7,Correct_Until_Gen_8,Correct_Until_Gen_9,Correct_Until_Gen_10,Correct_Until_Gen_11
High-Freq-Abstract,72.5,75,66.66666666666666,66.875,59,56.25,51.78571428571429,49.6875,45.83333333333333,44.25
High-Freq-Concrete,92.5,92.5,89.16666666666667,89.375,86,84.58333333333333,80.71428571428572,78.125,75.55555555555556,73.75
Low-Freq-Abstract,52.5,36.25,30,23.125,19.5,16.666666666666664,14.642857142857144,13.125,11.944444444444445,11
Low-Freq-Concrete,87.5,72.5,65,61.25000000000001,55.00000000000001,52.5,47.5,46.25,42.5,42
